;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
QUALIFICAÇÃO;NOME;GRAU;DECRETO;PORTARIA;;;
Cel Av R/1;CARLOS EDUARDO ZIEGLER DE SAINT EDMOND;Cavaleiro;19/10/2010;;;;
C Alte;CARLOS EMÍLIO RAFFO JÚNIOR;Oficial;12/09/1990;;;;
Coronel BM (DF);CARLOS EMILSON FERREIRA DOS SANTOS;Oficial;;3.626/GM-MD;29/08/2019;;
Cel Av;CARLOS EMMANUEL DE QUEIROZ BARBOZA;Cavaleiro;15/10/2018;;;;
Cel Av;CARLOS ENGELBERG MORAES SOBRINHO;Oficial;05/09/1988;;;;
Doutor;CARLOS ERNANI ROSADO SOARES;Oficial;23/09/1993;;;;
Ten Cel Ex;CARLOS ETIENNE CASTRO;Oficial;20/09/1983;;;;
Cel Art (Ex);CARLOS EUGÊNIO KASPER;Oficial;26/09/2001;;;;
Senhor;CARLOS EUGÊNIO MENDES DE MORAES;Oficial;26/09/2001;;;;
Conselheiro do INCAER;CARLOS EUGÊNIO SANTOS DUFRICHE;Oficial; ;2.954/MD;22/10/2013;;
Cel Av;CARLOS EUGÊNIO SOBRAL VIEIRA;Oficial;13/10/1969;;;;
Maj Brig Ar;CARLOS EURICO PECLAT DOS SANTOS;Grande-Oficial;19/10/2012;;;;
CMG (Md);CARLOS EVANDRO DE ALBERNAZ MUNIZ;Oficial;25/09/1981;;;;
Brig Ar;CARLOS FARIA LEÃO;Grande-Oficial;12/10/1966;;;;
Cel Dent R/1;CARLOS FEIJO DE CARVALHO;Cavaleiro;19/10/2010;;;;
Deputado Federal (BA);CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO;Grande-Oficial;02/10/2017;;;;
Cel Int;CARLOS FERNANDES COELHO;Oficial;22/10/2014;;;;
SO QSS SAD;CARLOS FERNANDES GUIMARÃES;Cavaleiro;04/10/2007;;;;
Cel Int;CARLOS FERNANDO DE SOUZA PANISSA;Oficial;29/09/2009;;;;
Embaixador;CARLOS FERNANDO LECKIE LOBO;Grande-Oficial;20/09/1983;;;;
Juiz;CARLOS FERNANDO MATHIAS DE SOUZA;Comendador;26/09/2000;;;;
SO QSS BSP;CARLOS FERNANDO ZACHER;Cavaleiro;12/09/1990;;;;
Maj Ex;CARLOS FIRMO SCHMIDT ROVER;Oficial;02/10/1978;;;;
Gen Bda;CARLOS FRAGOMENI;Comendador;20/09/1988;;;;
Coronel;CARLOS FRANCISCO PALERMO ALTESOR;Oficial;15/04/1986;;;;
Presidente do BNDES;CARLOS FRANCISCO THEODORO MACHADO RIBEIRO DE LESSA;Grande-Oficial;01/10/2003;;;;
Cel Av;CARLOS FREDERICO AFFONSO SAMPAIO;Oficial;26/09/2005;;;;
C Alte;CARLOS FREDERICO CARNEIRO PRIMO;Comendador;21/10/2013;; ;;
Subprocurador-Geral de Justiça Militar;CARLOS FREDERICO DE OLIVEIRA PEREIRA;Comendador;;2.818/MD;22/10/2012;;
Embaixador;CARLOS FREDERICO DUARTE GONÇALVES DA ROCHA;Grande-Oficial;26/11/1969;;;;
Cel Dent;CARLOS FREDERICO LOPES CORRÊA;Cavaleiro;19/10/2012;;;;
Brig Gen;CARLOS FREDERICO MURIÑO;Grande-Oficial;28/05/1952;;;;
C Alte;CARLOS FREDERICO VASCONCELLOS DA SILVA;Comendador;12/09/1990;;;;
Coordenador Substituto da CJU/SJC;CARLOS FREIRE LONGATO;Cavaleiro;;3.626/GM-MD;29/08/2019;;
Professor;CARLOS FURTADO DE SIMAS;Grande-Oficial;21/08/1967;;;;
Economista;CARLOS GANEM;Oficial;29/09/2009;;;;
Doutor;CARLOS GEMINIANO DA FRANCA;Oficial;09/10/1972;;;;
Brigadeiro do Ar Reformado;CARLOS GERALDO DOS SANTOS PORTO;Grande-Oficial;20/09/2019;;;;
Doutor;CARLOS GERALDO LANGONI;Comendador;17/09/1980;;;;
General;CARLOS GUERRATY VILLALOBOS;Grande-Oficial;18/07/1969;;;;
Brig Ar;CARLOS GUIDÃO DA CRUZ;Comendador;17/09/1980;;;;
Terceiro-Secretário;CARLOS GUILHERME SAMPAIO FERNANDES;Cavaleiro;;2.753/MD;22/10/2014;;
Brig Int;CARLOS HEINZ JOÃO BUCKENTIN;Comendador;08/09/1989;;;;
Coronel Aviador;CARLOS HENRIQUE AFONSO SILVA;Oficial;20/09/2019;;;;
Cel Int;CARLOS HENRIQUE ALMEIDA;Oficial;01/10/2003;;;;
SO QSS SAD;CARLOS HENRIQUE ALVES DE CARVALHO;Cavaleiro;25/09/2008;;;;
Professor;CARLOS HENRIQUE CARDIM;Oficial;25/09/1981;;;;
Gen Div;CARLOS HENRIQUE CARVALHO PRIMO;Grande-Oficial;19/10/2010;;;;
Professor;CARLOS HENRIQUE COSTA RIBEIRO;Oficial;;3.552/GM-MD;21/09/2018;;
Senhor;CARLOS HENRIQUE DE ALMEIDA SANTOS;Oficial;05/09/1988;;;;
Doutor;CARLOS HENRIQUE DE BRITO CRUZ;Comendador;20/09/2006;;;;
SO QSS BCT;CARLOS HENRIQUE DEICKE;Cavaleiro;17/10/2002;;;;
SO QSS BMA;CARLOS HENRIQUE HENRY HILLMER;Cavaleiro;13/10/2020;;;;
SO QSS BMA;CARLOS HENRIQUE MAGANHA SOUZA;Cavaleiro;26/09/2001;;;;
C Alte (IM);CARLOS HENRIQUE MIRANDA;Comendador;26/09/2001;;;;
Cel Int R/1;CARLOS HENRIQUE PASSOS DE MOURA;Comendador;15/10/2018;;;;
SO QSS BMA R/1;CARLOS HENRIQUE RAMOS LOIS;Cavaleiro;29/09/2009;;;;
Alte Esq;CARLOS HENRIQUE RESENDE DE NORONHA;Grande-Oficial;02/10/1978;;;;
Cel Int;CARLOS HENRIQUE SANTORO;Oficial;19/10/2010;;;;
Juiz-Auditor;CARLOS HENRIQUE SILVA REINIGER FERREIRA;Comendador;;3.347/MD;08/09/2017;;
C Alte;CARLOS HENRIQUE SILVA SEIXAS;Comendador;21/10/2013;; ;;
Gen Bda;CARLOS HENRIQUE TECHE;Comendador;15/10/2018;;;;
SO QSS BMA;CARLOS HENRIQUE THOMAZ BRANCO;Cavaleiro;13/10/2016;;;;
Cel Inf;CARLOS HENRIQUE TITO DA SILVA;Oficial;13/10/2016;;;;
C Alte (IM);CARLOS HENRIQUES GOMES;Comendador;25/09/2008;;;;
1º Ten QOEA CTA Ref;CARLOS HEREDIA;Cavaleiro;21/10/2011;;;;
Secretário-Executivo da Controladoria Geral da União;CARLOS HIGINO RIBEIRO DE ALENCAR;Grande-Oficial;21/10/2013;; ;;
Cel Inf;CARLOS HILÁRIO DE CASTRO;Oficial;20/10/2015;;;;
Senhor;CARLOS HOMRICH;Cavaleiro;09/10/1972;;;;
Vice-Ministro de Defesa;CARLOS HUMBERTO LARREA DÁVILA;Grande-Oficial;21/10/2013;; ;;
Gen Div Av;CARLOS HUMBERTO PINAUD ARCILA;Grande-Oficial;17/10/1983;;;;
Doutor;CARLOS ISIDORO AMODEO;Cavaleiro;20/09/1984;;;;
Presidente da Fundação Getúlio Vargas;CARLOS IVAN SIMONSEN LEAL;Comendador;;3.626/GM-MD;29/08/2019;;
General;CARLOS JAIME MENA TORRES;Grande-Oficial;20/10/2015;;;;
Senhor;CARLOS JOAQUIM GUEDES REZENDE;Comendador;;1.698/MD;15/10/2016;;
Jornalista;CARLOS JOEL NELLI;Comendador;15/10/1963;;;;
Deputado Federal (SP);CARLOS JOSÉ DE ALMEIDA;Grande-Oficial;19/10/2012;;;;
Gen Bda;CARLOS JOSÉ IGNACIO;Comendador;19/10/2012;;;;
Juiz Titular da Infância e Juventude (TJGO);CARLOS JOSÉ LIMONGI STERSE;Oficial;;3.626/GM-MD;29/08/2019;;
Coronel R/1 (Exército);CARLOS JOSÉ NASCIMENTO;Oficial;06/09/2004;;;;
Cel Av;CARLOS JOSÉ POLLHUBER;Oficial;08/09/1989;;;;
Doutor;CARLOS JOSÉ PRAZERES CAMPELO;Comendador;20/09/1984;;;;
Cel Int;CARLOS JOSÉ RODRIGUES;Cavaleiro;13/10/2020;;;;
Brig Ar;CARLOS JOSÉ RODRIGUES DE ALENCASTRO;Comendador;19/10/2012;;;;
General de Divisão;CARLOS JOSÉ RUSSO ASSUMPÇÃO PENTEADO;Grande-Oficial;20/09/2019;;;;
Cel Av;CARLOS JÚLIO AMARAL DA CUNHA;Cavaleiro;11/10/1962;;;;
Cel Av;CARLOS KASEMODEL FILHO;Oficial;02/10/1978;;;;
Chefe de Gabinete (MCTIC);CARLOS KOJI TAKAHASHI;Comendador;;3.346/MD;08/09/2017;;
Senhor;CARLOS KOOGAN LORCH;Comendador;25/09/2008;;;;
Cel Av;CARLOS LEÃO DE SOUZA BANDEIRA;Oficial;05/10/1977;;;;
Comandante;CARLOS LUIZ MARTINS PEREIRA E SOUZA;Oficial;06/09/2004;;;;
Procurador-Chefe da União (RN);CARLOS LUIZ NETO;Oficial;04/10/2007;;;;
Ministro;CARLOS LUZILDE HILDEBRANDT;Comendador;25/09/1979;;;;
Cel Med R/1;CARLOS MAC CORD GONÇALVES;Cavaleiro;19/10/2010;;;;
Cel Av;CARLOS MACHADO;Oficial;20/09/2006;;;;
Doutor;CARLOS MACHADO FEHLBERG;Oficial;29/09/1971;;;;
Cel Av;CARLOS MACHADO VALLIM;Cavaleiro;18/09/1991;;;;
Cel Eng;CARLOS MAGNO OLSSON VALLE;Cavaleiro;26/09/2001;;;;
Cel Av;CARLOS MAGNO VILELA DO NASCIMENTO;Cavaleiro;04/10/2007;;;;
SO QSS SGS;CARLOS MAGNUS LUSTOSA PIRES;Cavaleiro;22/10/2014;;;;
Ten Cel Med;CARLOS MAIA DE ASSIS;Comendador;29/09/1971;;;;
SO QSS BET;CARLOS MANUEL TEIXEIRA MANSORES;Cavaleiro;15/10/2018;;;;
Cel Int;CARLOS MARCELO CARDOSO FERNANDES;Cavaleiro;21/10/2013;; ;;
CC ;CARLOS MARCELO FERNANDES CONSIDERA;Cavaleiro;29/09/2009;;;;
Doutor;CARLOS MÁRIO DA SILVA VELLOSO;Grande-Oficial;20/09/1983;;;;
Maj Farm;CARLOS MÁRIO LACERDA DA CRUZ MACHADO;Oficial;01/09/1987;;;;
General (FAP);CARLOS MARIO SANCHES DA COSTA MACEDO;Grande-Oficial;07/06/1957;;;;
Cel Ex;CARLOS MARQUES MAIA;Oficial;09/10/1972;;;;
Doutor;CARLOS MARTINS FUTURO;Cavaleiro;04/10/1976;;;;
Gen Brig R/1;CARLOS MAURÍCIO BARROSO SARMENTO;Comendador;13/10/2020;;;;
Senador;CARLOS MAURO CABRAL BENEVIDES;Grande-Oficial;18/09/1991;;;;
Ten Cel Av;CARLOS MAXIMILIANO DOS MARES GUIA;Cavaleiro;04/10/1976;;;;
Doutor;CARLOS MEDEIROS E SILVA;Grande-Oficial;14/10/1958;;;;
Maj Brig Ar;CARLOS MINELLI DE SÁ;Grande-Oficial;20/10/2015;;;;
Cel Med (EB) R/1;CARLOS MOISÉS MANZONI DE OLIVEIRA;Oficial;29/09/2009;;;;
General;CARLOS MONTANARO;Grande-Oficial;10/02/1953;;;;
Ten Cel PM (RJ);CARLOS MORAES ANTUNES;Oficial;25/09/2008;;;;
Cel Av;CARLOS MOREIRA DE OLIVEIRA LIMA;Comendador;12/10/1966;;;;
Ministro;CARLOS MOREIRA GARCIA;Grande-Oficial;12/09/1995;;;;
SO QSS SAD R/1;CARLOS MOREIRA XAVIER;Cavaleiro;21/10/2011;;;;
Engenheiro;CARLOS MÜLLER;Oficial;25/09/2008;;;;
Ten Cel Ex;CARLOS MUSSOI FILHO;Oficial;02/10/1978;;;;
SO QSS BMB;CARLOS NETO DE FREITAS LIMA;Cavaleiro;19/10/2010;;;;
Senhor;CARLOS NIVAN MAIA;Comendador;01/10/2003;;;;
Gen Div;CARLOS NORBERTO LANZELLOTTE;Comendador;25/09/2008;;;;
Cel Av;CARLOS OCTÁVIO GOMES DE ÁVILA;Oficial;05/09/1988;;;;
Doutor;CARLOS OCTÁVIO RODRIGUES;Oficial;25/09/1979;;;;
Gen Bda;CARLOS OLAVO QUEIROZ GUIMARÃES;Comendador;16/09/1986;;;;
Cap QOEA;CARLOS OLINTO DE OLIVEIRA COSTA;Cavaleiro;21/10/2013;; ;;
CMG (EN);CARLOS OLIVEIRA FRÓES;Oficial;05/10/1977;;;;
Maj Brig Ar Ref;CARLOS OSCAR CRUZ FERREIRA;Grande-Oficial;11/09/1996;;;;
C Alte (EN);CARLOS OSWALDO BOTELHO GADELHA;Comendador;07/10/1994;;;;
CMG;CARLOS OSWALDO PEGO DE AMORIM AZEVEDO;Oficial;15/09/1982;;;;
Professor;CARLOS OTÁVIO LINS DE PINHO;Cavaleiro;23/09/1997;;;;
Suboficial BET Reformado;CARLOS OTAVIO SOARES PINTO;Cavaleiro;20/09/2019;;;;
V Alte;CARLOS PARAGUASSU DE SÁ;Grande-Oficial;16/10/1959;;;;
C Alte (EN);CARLOS PASSOS BEZERRIL;Comendador;25/09/2008;;;;
Gen Div;CARLOS PATRÍCIO FREITAS PEREIRA;Comendador;11/09/1996;;;;
Cap QAO;CARLOS PEREIRA DA COSTA;Cavaleiro;13/10/2020;;;;
Brig Ar;CARLOS PFALTZGRAFF BRASIL;Grande-Oficial;22/10/1948;;;;
Tenente-General (Equador);CARLOS PUGA RUSSO;Grande-Oficial;28/09/1999;;;;
Cel Av;CARLOS RENATO DE ANDRADE MATTOS;Oficial;22/10/2014;;;;
S Ten Inf;CARLOS ROBERTO ALVES HACKMANN;Cavaleiro;21/10/2013;; ;;
Conselheiro;CARLOS ROBERTO BEVILAQUA PENNA;Oficial;28/09/1999;;;;
Ten Cel R/1;CARLOS ROBERTO CEZAR;Cavaleiro;20/09/2006;;;;
Cel Av Ref;CARLOS ROBERTO DE MORAES;Cavaleiro;12/09/1990;;;;
C Alte (FN);CARLOS ROBERTO DE OLIVEIRA CANDIDO PEREIRA;Comendador;11/09/1996;;;;
Coronel Engenheiro;CARLOS ROBERTO DE OLIVEIRA ZAPFF;Cavaleiro;20/09/2019;;;;
2S QSS VTE;CARLOS ROBERTO DE PAULA;Cavaleiro;14/10/1992;;;;
Gen Div;CARLOS ROBERTO DE SOUSA PEIXOTO;Grande-Oficial;19/10/2010;;;;
CB QCB BEP;CARLOS ROBERTO DOS SANTOS;Cavaleiro;19/10/2010;;;;
SO QSS BCO;CARLOS ROBERTO FACÁDIO;Cavaleiro;28/09/1999;;;;
Gen Div;CARLOS ROBERTO FIGUEIREDO UCHÔA DE MOURA;Comendador;12/09/1995;;;;
SO QSS SAD;CARLOS ROBERTO GABRIEL BASTOS;Cavaleiro;23/09/1997;;;;
Cel Av;CARLOS ROBERTO GOMES RIBEIRO;Cavaleiro;02/10/1978;;;;
Doutor;CARLOS ROBERTO GUERRA FONTES;Comendador;23/09/1993;;;;
Cel Av R/1;CARLOS ROBERTO LIBERATO;Cavaleiro;20/09/2006;;;;
Ten Cel Esp Av;CARLOS ROBERTO LOPES;Cavaleiro;28/09/1999;;;;
Coordenador-Geral;CARLOS ROBERTO PAIVA DA SILVA;Comendador;29/09/2009;;;;
Cel Av R/1;CARLOS ROBERTO PEREIRA;Cavaleiro;26/09/2001;;;;
Senhor;CARLOS ROBERTO PINTO MONTEIRO;Oficial;25/09/2008;;;;
Cel Av R/1;CARLOS ROBERTO PORFIRIO JUNIOR;Oficial;19/10/2012;;;;
Doutor;CARLOS ROBERTO REIS REBOUÇAS;Oficial;15/09/1982;;;;
Cel Av;CARLOS ROBERTO RONCONI JUNIOR;Cavaleiro;02/10/2017;;;;
Cel Int;CARLOS ROBERTO SANTOS;Oficial;20/10/2015;;;;
Coronel-de-Infantaria;CARLOS ROBERTO SUCHA;Oficial;04/10/2007;;;;
Gen Div;CARLOS ROBERTO TERRA AMARAL;Comendador;25/09/2008;;;;
Brig Ar;CARLOS RODRIGUES COELHO;Grande-Oficial;14/10/1958;;;;
Advogado da União;CARLOS RODRIGUES DA SILVA FILHO;Cavaleiro;21/10/2011;;;;
C Alte;CARLOS ROGÉRIO DE ALMEIDA ROCHA;Oficial;12/09/1990;;;;
Cap Ref;CARLOS RUBENS DA SILVA;Cavaleiro;01/10/2003;;;;
Cel Av Ref;CARLOS RUBENS DE RESENDE;Cavaleiro;25/09/1979;;;;
Professor;CARLOS SANCHEZ DE QUEIROZ;Cavaleiro;17/09/1980;;;;
Senhor;CARLOS SANTA ROSA D'ALBUQUERQUE CASTIM;Oficial;25/09/2008;;;;
Doutor;CARLOS SANT'ANNA;Comendador;20/09/1988;;;;
Cel Av;CARLOS SÉRGIO DA COSTA LIMA;Cavaleiro;15/10/2018;;;;
Maj Brig Ar;CARLOS SÉRGIO DE SANT'ANNA CÉSAR;Grande-Oficial;23/09/1993;;;;
Embaixador;CARLOS SÉRGIO SOBRAL DUARTE;Grande-Oficial;13/10/2016;;;;
Cel Av;CARLOS SOARES RODRIGUES;Oficial;05/09/1988;;;;
Comandante;CARLOS SPOHR;Oficial;20/09/1984;;;;
SO QSS BEI;CARLOS TERRA PEREIRA ALVES;Cavaleiro;21/10/2013;; ;;
Senhor;CARLOS THADEU DA CUNHA ARCOVERDE ALVES;Cavaleiro;25/09/2008;;;;
Doutor;CARLOS THEOFILO DE SOUZA E MELLO;Oficial;25/09/1981;;;;
Doutor;CARLOS THOMPSON FLORES;Grande-Oficial;01/10/1974;;;;
Gen Ex;CARLOS TINOCO RIBEIRO GOMES;Grande-Oficial;08/09/1989;;;;
SO QSS BET;CARLOS TORAL ROSELL;Cavaleiro;04/10/2007;;;;
Cel Int;CARLOS TÔRRES CORRÊA MATT;Cavaleiro;12/09/1995;;;;
Doutor;CARLOS VIACAVA;Comendador;15/09/1981;;;;
Cel Inf (EB);CARLOS VICTOR TEIXEIRA DE VASCONCELOS;Oficial;13/10/2020;;;;
Almirante;CARLOS VIEGAS GAGO COUTINHO;Grande-Oficial;06/10/1954;;;;
Ten Brig Ar;CARLOS VUYK DE AQUINO;Grã-Cruz;09/06/2015;;;;
General de Brigada;CARLOS WALDYR AGUIAR;Comendador;20/09/2019;;;;
Auditor Federal de Controle Externo (TCU);CARLOS WELLINGTON LEITE DE ALMEIDA;Oficial;;1.699/MD;15/10/2016;;
Doutor;CARLOS WILLY ENGELS;Cavaleiro;01/09/1987;;;;
Cel Int R/1;CARLOS WILSON BARRA;Oficial;02/10/2017;;;;
Gen Div;CARLOS XAVIER DE MIRANDA;Comendador;05/10/1977;;;;
Desembargador;CARLOS XAVIER PAES BARRETO SOBRINHO;Comendador;23/09/1993;;;;
Doutor;CARLYLE LOPES DE SIQUEIRA;Oficial;20/09/1984;;;;
Advogado;CARMELLIO MANTUANO DE PAIVA;Comendador;26/09/2000;;;;
Engenheiro;CARMELO MÁRIO FARACO JÚNIOR;Oficial;17/10/2002;;;;
Cel Av;CARMELO PIÑERO ZAIZA;Oficial;14/11/1956;;;;
SO QSS SEF;CARMELO RABELO MESQUITA;Cavaleiro;26/09/2001;;;;
Cap Capl;CARMELO RAPOSO PINTO DE ANDRADE;Oficial;13/10/1969;;;;
SO QFG SAD;CARMELY MIRANDA TELES GONZAGA;Cavaleiro;04/10/2007;;;;
Ten Cel QFO Enf;CARMEM APARECIDA PRESTES;Cavaleiro;19/10/2010;;;;
Cel Med;CARMEM HELOISA PEREIRA LIMA;Cavaleiro;13/10/2020;;;;
Senhora;CARMEN FERREIRA DANTAS;Cavaleiro;;2.818/MD;22/10/2012;;
Ministra (STF);CÁRMEN LÚCIA ANTUNES ROCHA;Grande-Oficial;20/09/2006;;;;
Desembargadora (PA);CARMENCIN MARQUES CAVALCANTE;Oficial;01/10/2003;;;;
Ministra da Sagrada Eucaristia;CARMINA FERREIRA CAMPOS VIEIRA;Cavaleiro;;2.818/MD;22/10/2012;;
Doutor;CARMINE PECORELLI;Oficial;01/10/1975;;;;
Desembargador (TJ/AP);CARMO ANTONIO DE SOUZA;Comendador;21/10/2011;;;;
Gen Bda;CARMO ANTONIO RUSSO;Comendador;29/09/2009;;;;
Subprocuradora Regional da União;CAROLINE BULHOSA DE SOUZA NUNES;Cavaleiro;;2.267/MD;21/10/2015;;
Coronel (USAF);CARTER E. DUNCAN;Comendador;09/04/1952;;;;
Cel Ref;CARY SÉRGIO DA SILVEIRA SOUTO;Oficial;26/09/2001;;;;
Gen Pil Av;CASEMIRO DE JESUS PINTO DE ABREU PROENÇA;Comendador;21/10/1980;;;;
Mal Ar;CASIMIRO MONTENEGRO FILHO;Grã-Cruz;29/09/1971;;;;
Senhor;CASIMIRO O'CZERNY;Cavaleiro;20/09/1983;;;;
Secretária de Patrimônio da União;CASSANDRA MARONI NUNES;Cavaleiro; ;2.955/MD;22/10/2013;;
Cel Inf R/1;CASSIANO CORDEIRO BATISTA;Cavaleiro;29/09/2009;;;;
Brig Ar Ref;CASSIANO PEREIRA;Comendador;19/10/1970;;;;
Cel R/1;CÁSSIO BORGES;Cavaleiro;18/09/1991;;;;
Doutor;CÁSSIO MARQUES;Comendador;25/09/1981;;;;
Gen Bda (Int);CASSIO RODRIGUES DA CUNHA;Comendador;07/10/1994;;;;
Governador (PB);CÁSSIO RODRIGUES DA CUNHA LIMA;Grande-Oficial;01/10/2003;;;;
Ten Cel Esp Com;CÁSSIO ROMUALDO DOS REIS CARNEIRO;Comendador;25/09/1979;;;;
Comandante;CÁSSIO SIMÕES;Cavaleiro;15/10/1963;;;;
Ten Cel QFO PSC R/1;CÁTIA NOCERA;Cavaleiro;29/09/2009;;;;
Brig Int;CAUBY PAIVA GUIMARÃES;Comendador;20/10/1967;;;;
Cel R/1;CAUBY PINHEIRO JÚNIOR;Oficial;05/09/1988;;;;
Brigadeiro;CAYO ANTONIO ALSINA;Comendador;06/09/1960;;;;
Ten Cel (USAF);CECIL BELMONT CAYTON;Oficial;12/09/1967;;;;
Desembargadora-Presidente (TRF3);CECÍLIA MARIA PIEDRA MARCONDES;Comendador;;3.346/MD;08/09/2017;;
SO QSS BCT;CELESTE JOSÉ DISCACCIATI;Cavaleiro;13/10/2020;;;;
Brig Ar;CELESTINO TODESCO;Comendador;21/10/2013;; ;;
Senhora;CÉLIA CORRÊA;Comendador;21/10/2011;;;;
Engenheira;CÉLIA GEORGINA GLYCERIO DE CASTRO MEDEIROS;Cavaleiro;;1.699/MD;15/10/2016;;
Ten Cel QFO ANS R/1;CELIA MARIA DE LIMA;Cavaleiro;13/10/2016;;;;
Gen Bda Aerea;CELIER APARICIO ARISPE ROSAS;Grande-Oficial;20/10/2015;;;;
Embaixadora;CELINA MARIA ASSUMPÇÃO DO VALLE PEREIRA;Grande-Oficial;28/09/1999;;;;
Gen Bda (Eng Mil);CÉLIO BIZERRA DE AGUIAR;Comendador;28/09/1999;;;;
Prefeito de Barbacena (MG);CÉLIO COPATI MAZONI;Oficial;17/10/2002;;;;
Empresário;CÉLIO COSTA VAZ;Cavaleiro;;2.818/MD;22/10/2012;;
Prefeito (MG);CÉLIO DE CASTRO;Comendador;16/09/1998;;;;
SO QSS SAD;CÉLIO DE OLIVEIRA;Cavaleiro;16/09/1998;;;;
Deputado;CÉLIO DE OLIVEIRA BORJA;Grã-Cruz;01/10/1975;;;;
Assessor-Chefe da Assessoria Especial do Pres. da República;CÉLIO FARIA JÚNIOR;Grande-Oficial;20/09/2019;;;;
Cel Av;CÉLIO OTÁVIO ARAÚJO GALVÃO;Oficial;13/10/2020;;;;
Ten Cel Av;CÉLIO PEREIRA;Oficial;17/09/1980;;;;
Ten Cel Av;CÉLIO SEDA;Oficial;05/09/1988;;;;
Doutor;CÉLIO SILVA;Grande-Oficial;12/09/1990;;;;
Cel Av R/1;CÉLIO WANDERLEY DOMINGUEZ;Oficial;25/09/2008;;;;
Cel Av;CELION ROBERTO DE ALMEIDA ARAÚJO;Cavaleiro;18/09/1991;;;;
Cel Int R/1;CELSO ALEXANDRE DE OLIVEIRA;Cavaleiro;20/09/2006;;;;
Cel Av;CELSO ALEXANDRE PLIOPAS;Cavaleiro;20/09/1983;;;;
Cel Av;CELSO ANDRADE CAPUTE;Oficial;06/09/2004;;;;
Cel Av;CELSO ANDRÉ DA SILVA;Oficial;13/10/2016;;;;
Cel Inf Ref;CELSO APARECIDO MENCUCINI MARTINS;Comendador;13/10/2016;;;;
Vice-Alte (Md);CELSO BARBOSA MONTENEGRO;Comendador;20/09/2006;;;;
Juiz Federal (RS);CELSO CELIDONIO;Comendador;;3.209/GM-MD;25/09/2020;;
Cel Av Ref;CELSO DE ANDRADE TEIXEIRA;Cavaleiro;01/09/1987;;;;
Cel Av;CELSO DE ARAUJO;Oficial;19/10/2012;;;;
Gen Div;CELSO DE AZEVEDO DALTRO SANTOS;Comendador;09/10/1972;;;;
Cel Med;CELSO DE BONA;Oficial;11/09/1996;;;;
Gen Bda;CELSO DE CASTRO SCOFIELD;Comendador;12/09/1990;;;;
Doutor;CELSO DINIZ;Grande-Oficial;07/10/1968;;;;
Gen Bda;CELSO DOS SANTOS MEYER;Comendador;01/10/1975;;;;
Comandante;CELSO DUARTE VALDETARO;Cavaleiro;17/09/1980;;;;
Comandante;CELSO GERALDO MARTINS;Cavaleiro;20/09/1985;;;;
Brig Med;CELSO GONÇALVES BENCARDINO;Comendador;19/10/2012;;;;
Cel Av;CELSO GONÇALVES GARCIA;Oficial;26/09/2000;;;;
Contra-Almirante;CELSO GUIMARÃES LAPA;Comendador;01/10/2003;;;;
Gen Bda (EB);CELSO JOSÉ TIAGO;Comendador;29/09/2009;;;;
Gen Bda;CELSO KRAUSE SCHRAMM;Comendador;04/10/2007;;;;
Ministro (MRE);CELSO LAFER;Grã-Cruz;26/09/2001;;;;
Cel Av;CELSO LATORRE RODRIGUES CARVALHO;Cavaleiro;20/09/2006;;;;
Cel Av;CELSO LEITE E OITICICA;Cavaleiro;11/10/1962;;;;
C Alte;CELSO LUCIER MIRANDA LEAL;Oficial;16/09/1986;;;;
Maj Av;CELSO LUIZ CARDOSO VILARINHO;Cavaleiro;20/09/1984;;;;
Bancário;CELSO LUIZ DA SILVA;Oficial;17/10/1966;;;;
Desembargador (TJ/SP);CELSO LUIZ LIMONGI;Comendador;21/10/2011;;;;
Comandante;CELSO LUIZ LOPES DE FIGUEIREDO;Cavaleiro;08/09/1989;;;;
Cap Av;CELSO LUIZ LOPES DE RESENDE;Cavaleiro;14/10/1992;;;;
V Alte;CELSO LUIZ NAZARETH;Grande-Oficial;21/10/2013;; ;;
Ministro da Defesa;CELSO LUIZ NUNES AMORIM;Grã-Cruz;30/08/1993;;;;
Embaixador;CELSO MARCOS VIEIRA DE SOUZA;Grande-Oficial;21/10/2011;;;;
Professor;CELSO MASSAKI HIRATA;Cavaleiro;;2.818/MD;22/10/2012;;
Capitão QOEA SVM Reformado;CELSO MOLINARI;Oficial;20/10/2015;;;;
Doutor;CELSO MONTEIRO FURTADO;Grande-Oficial;01/09/1987;;;;
Senhor;CELSO MUNIZ DE ARAÚJO;Oficial;04/10/2007;;;;
Terceiro Vice-Presidente (TJ/RJ);CELSO MUNIZ GUEDES PINTO;Comendador;04/10/2007;;;;
2S QSS BMA;CELSO ONZI;Cavaleiro;07/10/1994;;;;
Engenheiro;CELSO OTÁVIO CÔRTES DA TRINDADE;Oficial; ;2.954/MD;22/10/2013;;
Deputado Federal (RJ);CELSO PANSERA;Grande-Oficial;15/10/2018;;;;
Cel Av;CELSO PAULINO DA SILVA;Oficial;02/10/1978;;;;
Senhor;CELSO RANGEL SUHETT;Oficial;20/09/2006;;;;
Maj Brig Ar;CELSO RESENDE NEVES;Comendador;20/09/1985;;;;
Doutor;CELSO ROCHA MIRANDA;Oficial;15/10/1963;;;;
SO QSS BCO Ref;CELSO RODRIGUES;Cavaleiro;12/09/1990;;;;
